window_id,window_start,window_end,date,day_name,window_index,flow_count,packet_rate,byte_rate,mean_flow_duration,std_flow_duration,short_flow_ratio,mean_packet_size,packet_length_variability,fwd_bwd_packet_ratio,unique_dst_ports,unique_dst_ips,tcp_flow_ratio,syn_packet_ratio,is_attack_window,attack_category,attack_categories_present
20170707_1359,2017-07-07 13:59:00,2017-07-07 13:59:59,2017-07-07,Friday,0,2,1.6,318.4,112740625.0,91.92388155425118,0.0,199.0,176.16296600080685,1.9393939393939394,2,1,1.0,0.0,0,BENIGN,BENIGN
20170707_1400,2017-07-07 14:00:00,2017-07-07 14:00:59,2017-07-07,Friday,1,125,69.4,9962.783333333333,12054774.384,28320490.535111334,0.728,143.5559558117195,187.20697750917702,2.9218455743879472,16,14,0.368,0.043707973102785784,0,BENIGN,BENIGN
20170707_1401,2017-07-07 14:01:00,2017-07-07 14:01:59,2017-07-07,Friday,2,308,86.2,17922.666666666668,7748885.863636363,24206587.82893928,0.8506493506493507,207.91956689868522,151.75145421765183,2.068208778173191,22,29,0.21753246753246752,0.04563031709203403,0,BENIGN,BENIGN
20170707_1402,2017-07-07 14:02:00,2017-07-07 14:02:59,2017-07-07,Friday,3,179,108.31666666666666,72037.53333333334,14033973.301675977,30945678.440374635,0.7374301675977654,665.064163717495,182.65843544121265,1.047244094488189,19,39,0.3128491620111732,0.025850130789352208,0,BENIGN,BENIGN
20170707_1403,2017-07-07 14:03:00,2017-07-07 14:03:59,2017-07-07,Friday,4,147,229.26666666666668,250335.68333333332,21141753.795918368,37115403.637658216,0.6666666666666666,1091.8974265774934,332.4050053627211,0.8858122001370802,13,35,0.4217687074829932,0.010250072695551032,0,BENIGN,BENIGN
20170707_1404,2017-07-07 14:04:00,2017-07-07 14:04:59,2017-07-07,Friday,5,308,130.06666666666666,92420.96666666666,20906473.74025974,36340021.08086661,0.6428571428571429,710.5661199384931,213.39317960006605,0.801708217913204,19,82,0.33766233766233766,0.030240902101486417,0,BENIGN,BENIGN
20170707_1405,2017-07-07 14:05:00,2017-07-07 14:05:59,2017-07-07,Friday,6,1537,551.7666666666667,356271.8333333333,15521107.821080025,33948017.94441662,0.7254391672088484,645.6929257536398,185.36380750709907,0.8745824132268841,15,241,0.2940793754066363,0.028393644656557724,0,BENIGN,BENIGN
20170707_1406,2017-07-07 14:06:00,2017-07-07 14:06:59,2017-07-07,Friday,7,132,31.25,6589.966666666666,25003079.136363637,38664673.27987044,0.5606060606060606,210.87893333333332,135.12762722106766,1.5733882030178326,11,46,0.3181818181818182,0.042666666666666665,0,BENIGN,BENIGN
20170707_1407,2017-07-07 14:07:00,2017-07-07 14:07:59,2017-07-07,Friday,8,399,1480.6333333333334,1778689.4166666667,18900257.684210528,37295492.13911442,0.7167919799498746,1201.303102276053,113.47603578687637,0.7309108621529469,20,59,0.19298245614035087,0.0016772102028411266,0,BENIGN,BENIGN
20170707_1408,2017-07-07 14:08:00,2017-07-07 14:08:59,2017-07-07,Friday,9,401,85.41666666666667,24574.516666666666,16824581.144638404,34614800.19291682,0.6957605985037406,287.70165853658534,186.6351707550956,1.2601410934744268,19,73,0.3192019950124688,0.05990243902439024,0,BENIGN,BENIGN
20170707_1409,2017-07-07 14:09:00,2017-07-07 14:09:59,2017-07-07,Friday,10,338,127.65,80531.68333333333,26398307.78402367,41345160.91498978,0.6301775147928994,630.8788353570962,161.04542748403853,0.9560776302349336,19,67,0.29289940828402367,0.027288157722940333,0,BENIGN,BENIGN
20170707_1410,2017-07-07 14:10:00,2017-07-07 14:10:59,2017-07-07,Friday,11,785,604.6833333333333,566124.7166666667,15539157.310828026,33530074.674565196,0.6929936305732484,936.2333728397784,172.2955646239424,0.8499898021619416,19,113,0.3095541401273885,0.014139632314434552,0,BENIGN,BENIGN
20170707_1411,2017-07-07 14:11:00,2017-07-07 14:11:59,2017-07-07,Friday,12,1108,252.28333333333333,136483.33333333334,14529553.898916967,32295671.917906474,0.73014440433213,540.9922705952303,152.230875754351,0.9149905123339659,17,192,0.2888086642599278,0.043007200898460725,0,BENIGN,BENIGN
20170707_1412,2017-07-07 14:12:00,2017-07-07 14:12:59,2017-07-07,Friday,13,486,962.8,976355.4833333333,16962758.88271605,35336264.26670564,0.7181069958847737,1014.0792307159674,143.7328580095433,1.0607498305568437,59,87,0.3436213991769547,0.00553939897521119,0,BENIGN,BENIGN
20170707_1413,2017-07-07 14:13:00,2017-07-07 14:13:59,2017-07-07,Friday,14,392,438.43333333333334,468466.56666666665,20053244.520408165,33877822.0501502,0.6428571428571429,1068.5012544666615,189.77257209068088,0.7742631685438727,12,110,0.35459183673469385,0.008971337337489546,0,BENIGN,BENIGN
20170707_1414,2017-07-07 14:14:00,2017-07-07 14:14:59,2017-07-07,Friday,15,234,113.2,74815.16666666667,24493356.970085472,38042210.49854511,0.5341880341880342,660.9113663133098,174.20793194609,0.9684149521877716,16,72,0.3418803418803419,0.01884570082449941,0,BENIGN,BENIGN
