window_id,window_start,window_end,date,day_name,window_index,flow_count,packet_rate,byte_rate,mean_flow_duration,std_flow_duration,short_flow_ratio,mean_packet_size,packet_length_variability,fwd_bwd_packet_ratio,unique_dst_ports,unique_dst_ips,tcp_flow_ratio,syn_packet_ratio,is_attack_window,attack_category,attack_categories_present
20170704_1353,2017-07-04 13:53:00,2017-07-04 13:53:59,2017-07-04,Tuesday,0,1,0.3333333333333333,0.16666666666666666,90030854.0,0.0,0.0,0.5,0.5129891760425771,0.9090909090909091,1,1,1.0,0.0,0,BENIGN,BENIGN
20170704_1354,2017-07-04 13:54:00,2017-07-04 13:54:59,2017-07-04,Tuesday,1,50,10.266666666666667,1779.5,15912587.0,36250470.54384007,0.76,173.32792207792207,187.6872868230311,1.3914728682170543,11,11,0.42,0.1185064935064935,0,BENIGN,BENIGN
20170704_1355,2017-07-04 13:55:00,2017-07-04 13:55:59,2017-07-04,Tuesday,2,103,19.233333333333334,7548.05,8744569.650485437,21317234.46107273,0.7184466019417476,392.446273830156,198.2698872375395,0.9282136894824707,4,22,0.32038834951456313,0.06239168110918544,0,BENIGN,BENIGN
20170704_1356,2017-07-04 13:56:00,2017-07-04 13:56:59,2017-07-04,Tuesday,3,99,22.633333333333333,2553.05,5276478.393939394,22559651.52118619,0.9292929292929293,112.80044182621502,104.58540287933654,2.9051724137931036,10,7,0.12121212121212122,0.033873343151693665,0,BENIGN,BENIGN
20170704_1357,2017-07-04 13:57:00,2017-07-04 13:57:59,2017-07-04,Tuesday,4,701,158.7,23581.033333333333,8224355.021398003,22865619.771521218,0.8359486447931527,148.58874186095358,118.42066459022072,2.190284757118928,23,40,0.16833095577746077,0.046838899390884266,0,BENIGN,BENIGN
20170704_1358,2017-07-04 13:58:00,2017-07-04 13:58:59,2017-07-04,Tuesday,5,217,58.65,10830.983333333334,7663070.68202765,22264661.02238706,0.815668202764977,184.67149758454107,138.81356745808108,1.8876127973748975,21,28,0.2488479262672811,0.05456095481670929,0,BENIGN,BENIGN
20170704_1359,2017-07-04 13:59:00,2017-07-04 13:59:59,2017-07-04,Tuesday,6,251,128.63333333333333,82016.83333333333,35258188.780876495,41794923.44738629,0.450199203187251,637.6017102876393,248.13900672661774,0.8313167259786477,11,62,0.4103585657370518,0.027597823270277273,0,BENIGN,BENIGN
20170704_1400,2017-07-04 14:00:00,2017-07-04 14:00:59,2017-07-04,Tuesday,7,56,15.833333333333334,1634.85,52409934.428571425,32671177.135781825,0.19642857142857142,103.25368421052632,64.27633582145981,2.804,13,30,0.19642857142857142,0.018947368421052633,0,BENIGN,BENIGN
20170704_1401,2017-07-04 14:01:00,2017-07-04 14:01:59,2017-07-04,Tuesday,8,2410,516.1,220063.76666666666,10193250.676348548,27127655.157948498,0.7481327800829876,426.39753277788543,147.25921625738408,0.9941399961362611,18,235,0.22987551867219916,0.03561971194213008,0,BENIGN,BENIGN
20170704_1402,2017-07-04 14:02:00,2017-07-04 14:02:59,2017-07-04,Tuesday,9,426,125.86666666666666,77205.13333333333,16588522.593896713,31212988.73066288,0.7089201877934272,613.3882415254237,138.7508101674352,1.1062465142219744,19,64,0.20892018779342722,0.02701271186440678,0,BENIGN,BENIGN
