window_id,window_start,window_end,date,day_name,window_index,flow_count,packet_rate,byte_rate,mean_flow_duration,std_flow_duration,short_flow_ratio,mean_packet_size,packet_length_variability,fwd_bwd_packet_ratio,unique_dst_ports,unique_dst_ips,tcp_flow_ratio,syn_packet_ratio,is_attack_window,attack_category,attack_categories_present
20170705_1342,2017-07-05 13:42:00,2017-07-05 13:42:59,2017-07-05,Wednesday,0,150,165.25,161245.83333333334,19296088.926666666,35036578.78336769,0.7266666666666667,975.7690368129097,102.4607626663543,0.9604586793198893,20,33,0.15333333333333332,0.005547150781643974,0,BENIGN,BENIGN
20170705_1343,2017-07-05 13:43:00,2017-07-05 13:43:59,2017-07-05,Wednesday,1,256,167.76666666666668,160245.18333333332,17492661.65234375,32446951.679390345,0.71484375,955.1669978144248,107.81622069448304,0.7386873920552677,21,52,0.23046875,0.009537055434134712,0,BENIGN,BENIGN
20170705_1344,2017-07-05 13:44:00,2017-07-05 13:44:59,2017-07-05,Wednesday,2,244,166.25,132398.21666666667,15407192.336065574,31415733.117120158,0.7336065573770492,796.3802506265664,221.7184385174434,1.171528080104484,18,60,0.3155737704918033,0.01904761904761905,0,BENIGN,BENIGN
20170705_1345,2017-07-05 13:45:00,2017-07-05 13:45:59,2017-07-05,Wednesday,3,197,6948.3,8665179.433333334,28671901.59390863,37691490.36839957,0.5685279187817259,1247.0934521153856,133.9729799715728,0.7866359822235935,11,50,0.2131979695431472,0.00023027215290070952,0,BENIGN,BENIGN
20170705_1346,2017-07-05 13:46:00,2017-07-05 13:46:59,2017-07-05,Wednesday,4,277,115.76666666666667,77780.2,15801378.415162455,35527172.67321631,0.7545126353790613,671.8704290238986,194.95675219587483,0.9481211441390914,24,46,0.2851985559566787,0.026778001727613014,0,BENIGN,BENIGN
20170705_1347,2017-07-05 13:47:00,2017-07-05 13:47:59,2017-07-05,Wednesday,5,989,8169.3,10037903.116666667,19454499.481294237,39287914.685997464,0.7077856420626896,1228.734789598456,153.9326139758971,0.778393361850961,14,137,0.358948432760364,0.0013077415853663512,0,BENIGN,BENIGN
20170705_1348,2017-07-05 13:48:00,2017-07-05 13:48:59,2017-07-05,Wednesday,6,228,114.18333333333334,80584.63333333333,15111078.192982456,29017668.76556827,0.6798245614035088,705.7477740475842,212.52299933744143,1.1141622955877815,23,47,0.2807017543859649,0.021894613924974455,0,BENIGN,BENIGN
20170705_1349,2017-07-05 13:49:00,2017-07-05 13:49:59,2017-07-05,Wednesday,7,743,7057.933333333333,8522552.65,20675307.317631226,38940844.205055445,0.6527590847913862,1207.513906337077,228.87015624101866,0.7887473864284357,18,137,0.3768506056527591,0.001289329265412916,0,BENIGN,BENIGN
20170705_1350,2017-07-05 13:50:00,2017-07-05 13:50:59,2017-07-05,Wednesday,8,215,940.1833333333333,1073326.8166666667,23782763.772093024,39986050.05236474,0.5395348837209303,1141.6143837194873,213.44802713250058,0.8666490188941465,11,69,0.4046511627906977,0.002286788037794047,0,BENIGN,BENIGN
20170705_1351,2017-07-05 13:51:00,2017-07-05 13:51:59,2017-07-05,Wednesday,9,1826,7393.183333333333,8749890.35,18796143.967141293,38184320.89727215,0.6785323110624315,1183.5078281570186,222.5004788751978,0.7809074923117688,11,244,0.3773274917853231,0.003068141598905298,0,BENIGN,BENIGN
