global_position,window_id,dataset_day,attack_category,is_attack,split,model,segment_id,is_exception,allocation_reason,notes
1,20170703_1355,Monday,BENIGN,0,train,autoencoder,Monday_GAP_001,False,Pure benign baseline training (Level 3 Purity),Strict Level 3 Benign Purity (Zero attack contamination in Train)
2,20170703_1356,Monday,BENIGN,0,train,autoencoder,Monday_GAP_001,False,Pure benign baseline training (Level 3 Purity),Strict Level 3 Benign Purity (Zero attack contamination in Train)
3,20170703_1357,Monday,BENIGN,0,train,autoencoder,Monday_GAP_001,False,Pure benign baseline training (Level 3 Purity),Strict Level 3 Benign Purity (Zero attack contamination in Train)
4,20170703_1358,Monday,BENIGN,0,train,autoencoder,Monday_GAP_001,False,Pure benign baseline training (Level 3 Purity),Strict Level 3 Benign Purity (Zero attack contamination in Train)
5,20170703_1359,Monday,BENIGN,0,train,autoencoder,Monday_GAP_001,False,Pure benign baseline training (Level 3 Purity),Strict Level 3 Benign Purity (Zero attack contamination in Train)
6,20170703_1400,Monday,BENIGN,0,train,autoencoder,Monday_GAP_001,False,Pure benign baseline training (Level 3 Purity),Strict Level 3 Benign Purity (Zero attack contamination in Train)
7,20170703_1401,Monday,BENIGN,0,train,autoencoder,Monday_GAP_001,False,Pure benign baseline training (Level 3 Purity),Strict Level 3 Benign Purity (Zero attack contamination in Train)
8,20170703_1402,Monday,BENIGN,0,train,autoencoder,Monday_GAP_001,False,Pure benign baseline training (Level 3 Purity),Strict Level 3 Benign Purity (Zero attack contamination in Train)
9,20170703_1403,Monday,BENIGN,0,train,autoencoder,Monday_GAP_001,False,Pure benign baseline training (Level 3 Purity),Strict Level 3 Benign Purity (Zero attack contamination in Train)
10,20170703_1404,Monday,BENIGN,0,train,autoencoder,Monday_GAP_001,False,Pure benign baseline training (Level 3 Purity),Strict Level 3 Benign Purity (Zero attack contamination in Train)
11,20170703_1405,Monday,BENIGN,0,train,autoencoder,Monday_GAP_001,False,Pure benign baseline training (Level 3 Purity),Strict Level 3 Benign Purity (Zero attack contamination in Train)
12,20170703_1406,Monday,BENIGN,0,train,autoencoder,Monday_GAP_001,False,Pure benign baseline training (Level 3 Purity),Strict Level 3 Benign Purity (Zero attack contamination in Train)
13,20170703_1407,Monday,BENIGN,0,train,autoencoder,Monday_GAP_001,False,Pure benign baseline training (Level 3 Purity),Strict Level 3 Benign Purity (Zero attack contamination in Train)
14,20170703_1408,Monday,BENIGN,0,train,autoencoder,Monday_GAP_001,False,Pure benign baseline training (Level 3 Purity),Strict Level 3 Benign Purity (Zero attack contamination in Train)
15,20170703_1409,Monday,BENIGN,0,train,autoencoder,Monday_GAP_001,False,Pure benign baseline training (Level 3 Purity),Strict Level 3 Benign Purity (Zero attack contamination in Train)
