global_position,window_id,dataset_day,day_position,attack_category,is_attack,split,model,segment_id,is_buffer,is_exception,allocation_reason,notes
1,20170703_1355,Monday,1,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
2,20170703_1356,Monday,2,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
3,20170703_1357,Monday,3,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
4,20170703_1358,Monday,4,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
5,20170703_1359,Monday,5,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
6,20170703_1400,Monday,6,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
7,20170703_1401,Monday,7,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
8,20170703_1402,Monday,8,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
9,20170703_1403,Monday,9,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
10,20170703_1404,Monday,10,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
11,20170703_1405,Monday,11,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
12,20170703_1406,Monday,12,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
13,20170703_1407,Monday,13,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
14,20170703_1408,Monday,14,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
15,20170703_1409,Monday,15,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
16,20170703_1410,Monday,16,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
17,20170703_1411,Monday,17,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
18,20170703_1412,Monday,18,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
19,20170703_1413,Monday,19,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
20,20170703_1414,Monday,20,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
21,20170703_1415,Monday,21,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
22,20170703_1416,Monday,22,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
23,20170703_1417,Monday,23,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
24,20170703_1418,Monday,24,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
25,20170703_1419,Monday,25,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
26,20170703_1420,Monday,26,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
27,20170703_1421,Monday,27,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
28,20170703_1422,Monday,28,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
29,20170703_1423,Monday,29,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
30,20170703_1424,Monday,30,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
31,20170703_1425,Monday,31,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
32,20170703_1426,Monday,32,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
33,20170703_1427,Monday,33,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
34,20170703_1428,Monday,34,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
35,20170703_1429,Monday,35,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
36,20170703_1430,Monday,36,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
37,20170703_1431,Monday,37,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
38,20170703_1432,Monday,38,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
39,20170703_1433,Monday,39,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
40,20170703_1434,Monday,40,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
41,20170703_1435,Monday,41,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
42,20170703_1436,Monday,42,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
43,20170703_1437,Monday,43,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
44,20170703_1438,Monday,44,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
45,20170703_1439,Monday,45,BENIGN,0,train,lstm,Monday_GAP_001,False,False,Continuous chronological train block,Strict Level 1 Segment Atomicity & Sequence Boundary Isolation
