global_position,window_id,dataset_day,attack_category,is_attack,split,model,segment_id,is_exception,allocation_reason,notes
1,20170703_1355,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
2,20170703_1356,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
3,20170703_1357,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
4,20170703_1358,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
5,20170703_1359,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
6,20170703_1400,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
7,20170703_1401,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
8,20170703_1402,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
9,20170703_1403,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
10,20170703_1404,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
11,20170703_1405,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
12,20170703_1406,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
13,20170703_1407,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
14,20170703_1408,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
15,20170703_1409,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
16,20170703_1410,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
17,20170703_1411,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
18,20170703_1412,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
19,20170703_1413,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
20,20170703_1414,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
21,20170703_1415,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
22,20170703_1416,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
23,20170703_1417,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
24,20170703_1418,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
25,20170703_1419,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
26,20170703_1420,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
27,20170703_1421,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
28,20170703_1422,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
29,20170703_1423,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
30,20170703_1424,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
31,20170703_1425,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
32,20170703_1426,Monday,BENIGN,0,train,xgboost,Monday_GAP_001,False,Benign background traffic allocation (train),Level 2 Preferred Segment Atomicity
