dataset_day,segment_id,attack_category,start_window_id,end_window_id,day_start_position,day_end_position,global_start_position,global_end_position,window_count,start_time,end_time
Tuesday,Tuesday_SEG_001,Brute Force,20170704_1417,20170704_1417,25,25,512,512,1,2017-07-04 14:17:00,2017-07-04 14:17:59
Tuesday,Tuesday_SEG_002,Brute Force,20170704_1419,20170704_1520,27,88,514,575,62,2017-07-04 14:19:00,2017-07-04 15:20:59
Tuesday,Tuesday_SEG_003,Brute Force,20170704_1909,20170704_2011,317,379,804,866,63,2017-07-04 19:09:00,2017-07-04 20:11:59
Tuesday,Tuesday_SEG_004,Brute Force,20170704_2104,20170704_2104,432,432,919,919,1,2017-07-04 21:04:00,2017-07-04 21:04:59
Wednesday,Wednesday_SEG_001,DoS,20170705_1401,20170705_1401,20,20,995,995,1,2017-07-05 14:01:00,2017-07-05 14:01:59
Wednesday,Wednesday_SEG_002,DoS,20170705_1448,20170705_1510,67,89,1042,1064,23,2017-07-05 14:48:00,2017-07-05 15:10:59
Wednesday,Wednesday_SEG_003,DoS,20170705_1515,20170705_1519,94,98,1069,1073,5,2017-07-05 15:15:00,2017-07-05 15:19:59
Wednesday,Wednesday_SEG_004,DoS,20170705_1522,20170705_1529,101,108,1076,1083,8,2017-07-05 15:22:00,2017-07-05 15:29:59
Wednesday,Wednesday_SEG_005,DoS,20170705_1532,20170705_1535,111,114,1086,1089,4,2017-07-05 15:32:00,2017-07-05 15:35:59
Wednesday,Wednesday_SEG_006,DoS,20170705_1537,20170705_1537,116,116,1091,1091,1,2017-07-05 15:37:00,2017-07-05 15:37:59
Wednesday,Wednesday_SEG_007,DoS,20170705_1543,20170705_1601,122,140,1097,1115,19,2017-07-05 15:43:00,2017-07-05 16:01:59
Wednesday,Wednesday_SEG_008,DoS,20170705_1606,20170705_1607,145,146,1120,1121,2,2017-07-05 16:06:00,2017-07-05 16:07:59
Wednesday,Wednesday_SEG_009,DoS,20170705_1610,20170705_1614,149,153,1124,1128,5,2017-07-05 16:10:00,2017-07-05 16:14:59
Wednesday,Wednesday_SEG_010,DoS,20170705_1617,20170705_1619,156,158,1131,1133,3,2017-07-05 16:17:00,2017-07-05 16:19:59
Wednesday,Wednesday_SEG_011,ATTACK,20170705_2012,20170705_2012,391,391,1366,1366,1,2017-07-05 20:12:00,2017-07-05 20:12:59
Wednesday,Wednesday_SEG_012,ATTACK,20170705_2014,20170705_2014,393,393,1368,1368,1,2017-07-05 20:14:00,2017-07-05 20:14:59
Wednesday,Wednesday_SEG_013,ATTACK,20170705_2016,20170705_2016,395,395,1370,1370,1,2017-07-05 20:16:00,2017-07-05 20:16:59
Wednesday,Wednesday_SEG_014,ATTACK,20170705_2018,20170705_2018,397,397,1372,1372,1,2017-07-05 20:18:00,2017-07-05 20:18:59
Wednesday,Wednesday_SEG_015,ATTACK,20170705_2020,20170705_2020,399,399,1374,1374,1,2017-07-05 20:20:00,2017-07-05 20:20:59
Wednesday,Wednesday_SEG_016,ATTACK,20170705_2022,20170705_2022,401,401,1376,1376,1,2017-07-05 20:22:00,2017-07-05 20:22:59
Wednesday,Wednesday_SEG_017,ATTACK,20170705_2024,20170705_2024,403,403,1378,1378,1,2017-07-05 20:24:00,2017-07-05 20:24:59
Wednesday,Wednesday_SEG_018,ATTACK,20170705_2026,20170705_2026,405,405,1380,1380,1,2017-07-05 20:26:00,2017-07-05 20:26:59
Wednesday,Wednesday_SEG_019,ATTACK,20170705_2028,20170705_2028,407,407,1382,1382,1,2017-07-05 20:28:00,2017-07-05 20:28:59
Wednesday,Wednesday_SEG_020,ATTACK,20170705_2030,20170705_2030,409,409,1384,1384,1,2017-07-05 20:30:00,2017-07-05 20:30:59
Wednesday,Wednesday_SEG_021,ATTACK,20170705_2032,20170705_2032,411,411,1386,1386,1,2017-07-05 20:32:00,2017-07-05 20:32:59
Thursday,Thursday_SEG_001,Brute Force,20170706_1415,20170706_1416,17,18,1501,1502,2,2017-07-06 14:15:00,2017-07-06 14:16:59
Thursday,Thursday_SEG_002,Brute Force,20170706_1418,20170706_1419,20,21,1504,1505,2,2017-07-06 14:18:00,2017-07-06 14:19:59
Thursday,Thursday_SEG_003,Brute Force,20170706_1421,20170706_1500,23,62,1507,1546,40,2017-07-06 14:21:00,2017-07-06 15:00:59
Thursday,Thursday_SEG_004,Web Attack,20170706_1515,20170706_1535,77,97,1561,1581,21,2017-07-06 15:15:00,2017-07-06 15:35:59
Thursday,Thursday_SEG_005,Web Attack,20170706_1540,20170706_1542,102,104,1586,1588,3,2017-07-06 15:40:00,2017-07-06 15:42:59
Thursday,Thursday_SEG_006,Infiltration,20170706_1919,20170706_1919,321,321,1805,1805,1,2017-07-06 19:19:00,2017-07-06 19:19:59
Thursday,Thursday_SEG_007,Infiltration,20170706_1928,20170706_1928,330,330,1814,1814,1,2017-07-06 19:28:00,2017-07-06 19:28:59
Thursday,Thursday_SEG_008,Infiltration,20170706_1930,20170706_1930,332,332,1816,1816,1,2017-07-06 19:30:00,2017-07-06 19:30:59
Thursday,Thursday_SEG_009,Infiltration,20170706_1932,20170706_1932,334,334,1818,1818,1,2017-07-06 19:32:00,2017-07-06 19:32:59
Thursday,Thursday_SEG_010,Infiltration,20170706_1934,20170706_1934,336,336,1820,1820,1,2017-07-06 19:34:00,2017-07-06 19:34:59
Thursday,Thursday_SEG_011,Infiltration,20170706_1936,20170706_1936,338,338,1822,1822,1,2017-07-06 19:36:00,2017-07-06 19:36:59
Thursday,Thursday_SEG_012,Infiltration,20170706_1938,20170706_1940,340,342,1824,1826,3,2017-07-06 19:38:00,2017-07-06 19:40:59
Thursday,Thursday_SEG_013,Infiltration,20170706_1942,20170706_1942,344,344,1828,1828,1,2017-07-06 19:42:00,2017-07-06 19:42:59
Thursday,Thursday_SEG_014,Infiltration,20170706_2004,20170706_2004,366,366,1850,1850,1,2017-07-06 20:04:00,2017-07-06 20:04:59
