dataset_day,gap_id,gap_type,start_window_id,end_window_id,global_start_position,global_end_position,window_count,previous_attack_category,next_attack_category,start_time,end_time
Monday,Monday_GAP_001,all_benign_day,20170703_1355,20170703_2201,1,487,487,None,None,2017-07-03 13:55:00,2017-07-03 22:01:59
Tuesday,Tuesday_GAP_001,leading,20170704_1353,20170704_1416,488,511,24,None,Brute Force,2017-07-04 13:53:00,2017-07-04 14:16:59
Tuesday,Tuesday_GAP_002,between_attacks,20170704_1418,20170704_1418,513,513,1,Brute Force,Brute Force,2017-07-04 14:18:00,2017-07-04 14:18:59
Tuesday,Tuesday_GAP_003,between_attacks,20170704_1521,20170704_1908,576,803,228,Brute Force,Brute Force,2017-07-04 15:21:00,2017-07-04 19:08:59
Tuesday,Tuesday_GAP_004,between_attacks,20170704_2012,20170704_2103,867,918,52,Brute Force,Brute Force,2017-07-04 20:12:00,2017-07-04 21:03:59
Tuesday,Tuesday_GAP_005,trailing,20170704_2105,20170704_2200,920,975,56,Brute Force,None,2017-07-04 21:05:00,2017-07-04 22:00:59
Wednesday,Wednesday_GAP_001,leading,20170705_1342,20170705_1400,976,994,19,None,DoS,2017-07-05 13:42:00,2017-07-05 14:00:59
Wednesday,Wednesday_GAP_002,between_attacks,20170705_1402,20170705_1447,996,1041,46,DoS,DoS,2017-07-05 14:02:00,2017-07-05 14:47:59
Wednesday,Wednesday_GAP_003,between_attacks,20170705_1511,20170705_1514,1065,1068,4,DoS,DoS,2017-07-05 15:11:00,2017-07-05 15:14:59
Wednesday,Wednesday_GAP_004,between_attacks,20170705_1520,20170705_1521,1074,1075,2,DoS,DoS,2017-07-05 15:20:00,2017-07-05 15:21:59
Wednesday,Wednesday_GAP_005,between_attacks,20170705_1530,20170705_1531,1084,1085,2,DoS,DoS,2017-07-05 15:30:00,2017-07-05 15:31:59
Wednesday,Wednesday_GAP_006,between_attacks,20170705_1536,20170705_1536,1090,1090,1,DoS,DoS,2017-07-05 15:36:00,2017-07-05 15:36:59
Wednesday,Wednesday_GAP_007,between_attacks,20170705_1538,20170705_1542,1092,1096,5,DoS,DoS,2017-07-05 15:38:00,2017-07-05 15:42:59
Wednesday,Wednesday_GAP_008,between_attacks,20170705_1602,20170705_1605,1116,1119,4,DoS,DoS,2017-07-05 16:02:00,2017-07-05 16:05:59
Wednesday,Wednesday_GAP_009,between_attacks,20170705_1608,20170705_1609,1122,1123,2,DoS,DoS,2017-07-05 16:08:00,2017-07-05 16:09:59
Wednesday,Wednesday_GAP_010,between_attacks,20170705_1615,20170705_1616,1129,1130,2,DoS,DoS,2017-07-05 16:15:00,2017-07-05 16:16:59
Wednesday,Wednesday_GAP_011,between_attacks,20170705_1620,20170705_2011,1134,1365,232,DoS,ATTACK,2017-07-05 16:20:00,2017-07-05 20:11:59
Wednesday,Wednesday_GAP_012,between_attacks,20170705_2013,20170705_2013,1367,1367,1,ATTACK,ATTACK,2017-07-05 20:13:00,2017-07-05 20:13:59
Wednesday,Wednesday_GAP_013,between_attacks,20170705_2015,20170705_2015,1369,1369,1,ATTACK,ATTACK,2017-07-05 20:15:00,2017-07-05 20:15:59
Wednesday,Wednesday_GAP_014,between_attacks,20170705_2017,20170705_2017,1371,1371,1,ATTACK,ATTACK,2017-07-05 20:17:00,2017-07-05 20:17:59
Wednesday,Wednesday_GAP_015,between_attacks,20170705_2019,20170705_2019,1373,1373,1,ATTACK,ATTACK,2017-07-05 20:19:00,2017-07-05 20:19:59
Wednesday,Wednesday_GAP_016,between_attacks,20170705_2021,20170705_2021,1375,1375,1,ATTACK,ATTACK,2017-07-05 20:21:00,2017-07-05 20:21:59
Wednesday,Wednesday_GAP_017,between_attacks,20170705_2023,20170705_2023,1377,1377,1,ATTACK,ATTACK,2017-07-05 20:23:00,2017-07-05 20:23:59
Wednesday,Wednesday_GAP_018,between_attacks,20170705_2025,20170705_2025,1379,1379,1,ATTACK,ATTACK,2017-07-05 20:25:00,2017-07-05 20:25:59
Wednesday,Wednesday_GAP_019,between_attacks,20170705_2027,20170705_2027,1381,1381,1,ATTACK,ATTACK,2017-07-05 20:27:00,2017-07-05 20:27:59
Wednesday,Wednesday_GAP_020,between_attacks,20170705_2029,20170705_2029,1383,1383,1,ATTACK,ATTACK,2017-07-05 20:29:00,2017-07-05 20:29:59
Wednesday,Wednesday_GAP_021,between_attacks,20170705_2031,20170705_2031,1385,1385,1,ATTACK,ATTACK,2017-07-05 20:31:00,2017-07-05 20:31:59
Wednesday,Wednesday_GAP_022,trailing,20170705_2033,20170705_2210,1387,1484,98,ATTACK,None,2017-07-05 20:33:00,2017-07-05 22:10:59
Thursday,Thursday_GAP_001,leading,20170706_1359,20170706_1414,1485,1500,16,None,Brute Force,2017-07-06 13:59:00,2017-07-06 14:14:59
Thursday,Thursday_GAP_002,between_attacks,20170706_1417,20170706_1417,1503,1503,1,Brute Force,Brute Force,2017-07-06 14:17:00,2017-07-06 14:17:59
Thursday,Thursday_GAP_003,between_attacks,20170706_1420,20170706_1420,1506,1506,1,Brute Force,Brute Force,2017-07-06 14:20:00,2017-07-06 14:20:59
Thursday,Thursday_GAP_004,between_attacks,20170706_1501,20170706_1514,1547,1560,14,Brute Force,Web Attack,2017-07-06 15:01:00,2017-07-06 15:14:59
Thursday,Thursday_GAP_005,between_attacks,20170706_1536,20170706_1539,1582,1585,4,Web Attack,Web Attack,2017-07-06 15:36:00,2017-07-06 15:39:59
Thursday,Thursday_GAP_006,between_attacks,20170706_1543,20170706_1918,1589,1804,216,Web Attack,Infiltration,2017-07-06 15:43:00,2017-07-06 19:18:59
Thursday,Thursday_GAP_007,between_attacks,20170706_1920,20170706_1927,1806,1813,8,Infiltration,Infiltration,2017-07-06 19:20:00,2017-07-06 19:27:59
Thursday,Thursday_GAP_008,between_attacks,20170706_1929,20170706_1929,1815,1815,1,Infiltration,Infiltration,2017-07-06 19:29:00,2017-07-06 19:29:59
Thursday,Thursday_GAP_009,between_attacks,20170706_1931,20170706_1931,1817,1817,1,Infiltration,Infiltration,2017-07-06 19:31:00,2017-07-06 19:31:59
Thursday,Thursday_GAP_010,between_attacks,20170706_1933,20170706_1933,1819,1819,1,Infiltration,Infiltration,2017-07-06 19:33:00,2017-07-06 19:33:59
Thursday,Thursday_GAP_011,between_attacks,20170706_1935,20170706_1935,1821,1821,1,Infiltration,Infiltration,2017-07-06 19:35:00,2017-07-06 19:35:59
Thursday,Thursday_GAP_012,between_attacks,20170706_1937,20170706_1937,1823,1823,1,Infiltration,Infiltration,2017-07-06 19:37:00,2017-07-06 19:37:59
Thursday,Thursday_GAP_013,between_attacks,20170706_1941,20170706_1941,1827,1827,1,Infiltration,Infiltration,2017-07-06 19:41:00,2017-07-06 19:41:59
Thursday,Thursday_GAP_014,between_attacks,20170706_1943,20170706_2003,1829,1849,21,Infiltration,Infiltration,2017-07-06 19:43:00,2017-07-06 20:03:59
Thursday,Thursday_GAP_015,between_attacks,20170706_2005,20170706_2006,1851,1852,2,Infiltration,Infiltration,2017-07-06 20:05:00,2017-07-06 20:06:59
Thursday,Thursday_GAP_016,between_attacks,20170706_2008,20170706_2008,1854,1854,1,Infiltration,Infiltration,2017-07-06 20:08:00,2017-07-06 20:08:59
Thursday,Thursday_GAP_017,between_attacks,20170706_2010,20170706_2011,1856,1857,2,Infiltration,Infiltration,2017-07-06 20:10:00,2017-07-06 20:11:59
Thursday,Thursday_GAP_018,between_attacks,20170706_2013,20170706_2013,1859,1859,1,Infiltration,Infiltration,2017-07-06 20:13:00,2017-07-06 20:13:59
Thursday,Thursday_GAP_019,between_attacks,20170706_2015,20170706_2015,1861,1861,1,Infiltration,Infiltration,2017-07-06 20:15:00,2017-07-06 20:15:59
Thursday,Thursday_GAP_020,between_attacks,20170706_2017,20170706_2018,1863,1864,2,Infiltration,Infiltration,2017-07-06 20:17:00,2017-07-06 20:18:59
Thursday,Thursday_GAP_021,between_attacks,20170706_2020,20170706_2020,1866,1866,1,Infiltration,Infiltration,2017-07-06 20:20:00,2017-07-06 20:20:59
Thursday,Thursday_GAP_022,between_attacks,20170706_2022,20170706_2022,1868,1868,1,Infiltration,Infiltration,2017-07-06 20:22:00,2017-07-06 20:22:59
Thursday,Thursday_GAP_023,between_attacks,20170706_2024,20170706_2025,1870,1871,2,Infiltration,Infiltration,2017-07-06 20:24:00,2017-07-06 20:25:59
