window_id,window_start,window_end,date,day_name,window_index,flow_count,packet_rate,byte_rate,mean_flow_duration,std_flow_duration,short_flow_ratio,mean_packet_size,packet_length_variability,fwd_bwd_packet_ratio,unique_dst_ports,unique_dst_ips,tcp_flow_ratio,syn_packet_ratio,is_attack_window,attack_category,attack_categories_present,is_attack,dataset_day,global_position
20170703_1355,2017-07-03 13:55:00,2017-07-03 13:55:59,2017-07-03,Monday,0,1,0.1333333333333333,0.0,10.0,0.0,1.0,0.0,0.0,8.0,1,1,1.0,0.0,0,BENIGN,BENIGN,0,Monday,1
20170703_1356,2017-07-03 13:56:00,2017-07-03 13:56:59,2017-07-03,Monday,1,63,27.6,3815.866666666667,9968426.73015873,24307721.91431155,0.746031746031746,138.256038647343,203.8051401023033,2.964114832535885,15,8,0.4285714285714285,0.0615942028985507,0,BENIGN,BENIGN,0,Monday,2
20170703_1357,2017-07-03 13:57:00,2017-07-03 13:57:59,2017-07-03,Monday,2,384,82.21666666666667,9430.6,9893131.372395834,26302795.060165375,0.8463541666666666,114.70423677275492,75.49966297425529,2.830745341614907,18,33,0.078125,0.0235151023717818,0,BENIGN,BENIGN,0,Monday,3
20170703_1358,2017-07-03 13:58:00,2017-07-03 13:58:59,2017-07-03,Monday,3,127,32.583333333333336,4119.233333333334,9652468.204724409,25291064.819035728,0.8188976377952756,126.42148337595908,103.05818542853896,3.0,17,24,0.1338582677165354,0.0255754475703324,0,BENIGN,BENIGN,0,Monday,4
20170703_1359,2017-07-03 13:59:00,2017-07-03 13:59:59,2017-07-03,Monday,4,109,30.983333333333334,11644.733333333334,13103322.963302752,28377495.39261443,0.7614678899082569,375.838622915546,91.45010720527053,1.8837209302325584,14,21,0.128440366972477,0.0247444862829478,0,BENIGN,BENIGN,0,Monday,5
20170703_1400,2017-07-03 14:00:00,2017-07-03 14:00:59,2017-07-03,Monday,5,58,30.85,24458.966666666667,45319494.51724138,35889821.06682707,0.3103448275862069,792.8352242031334,91.70548188131538,1.292079207920792,9,28,0.1034482758620689,0.0043219881145326,0,BENIGN,BENIGN,0,Monday,6
20170703_1401,2017-07-03 14:01:00,2017-07-03 14:01:59,2017-07-03,Monday,6,293,86.28333333333333,60077.63333333333,4468638.238907849,19707859.279050056,0.9112627986348124,696.2831755843152,83.8049705744313,0.8136602451838879,20,21,0.1023890784982935,0.0154529650376666,0,BENIGN,BENIGN,0,Monday,7
20170703_1402,2017-07-03 14:02:00,2017-07-03 14:02:59,2017-07-03,Monday,7,399,120.83333333333331,72379.58333333333,18504754.51879699,35285198.49430411,0.7368421052631579,599.0034482758621,102.47605662930688,1.015286270150083,12,65,0.1353383458646616,0.017103448275862,0,BENIGN,BENIGN,0,Monday,8
20170703_1403,2017-07-03 14:03:00,2017-07-03 14:03:59,2017-07-03,Monday,8,181,124.98333333333332,100658.26666666666,13049295.67955801,28741032.39510516,0.7071823204419889,805.3735164688625,233.6782492330588,1.0408163265306123,23,38,0.3149171270718232,0.0216028803840512,0,BENIGN,BENIGN,0,Monday,9
20170703_1404,2017-07-03 14:04:00,2017-07-03 14:04:59,2017-07-03,Monday,9,318,75.16666666666667,21433.016666666663,21353960.352201257,34405048.612298235,0.6572327044025157,285.139911308204,116.76003758426111,1.548587570621469,20,67,0.210691823899371,0.0334811529933481,0,BENIGN,BENIGN,0,Monday,10
20170703_1405,2017-07-03 14:05:00,2017-07-03 14:05:59,2017-07-03,Monday,10,255,55.6,32587.316666666666,16675635.290196078,30404982.752581425,0.6509803921568628,586.1028177458033,139.5132930141826,1.0322777101096223,16,58,0.2196078431372549,0.0293764988009592,0,BENIGN,BENIGN,0,Monday,11
20170703_1406,2017-07-03 14:06:00,2017-07-03 14:06:59,2017-07-03,Monday,11,2072,536.0666666666667,301686.31666666665,12750383.504826255,31486985.856203955,0.7625482625482626,562.7776085064047,143.383737289697,0.8469710020097617,15,205,0.2292471042471042,0.0299092152717323,0,BENIGN,BENIGN,0,Monday,12
20170703_1407,2017-07-03 14:07:00,2017-07-03 14:07:59,2017-07-03,Monday,12,476,96.85,19906.95,19122259.094537817,37090387.28107923,0.6911764705882353,205.54414042333505,153.93974956739083,1.1890772128060263,21,87,0.2941176470588235,0.0490449148167268,0,BENIGN,BENIGN,0,Monday,13
20170703_1408,2017-07-03 14:08:00,2017-07-03 14:08:59,2017-07-03,Monday,13,183,62.13333333333333,22426.7,18568646.644808743,33435859.737642903,0.6284153005464481,360.9447424892704,188.45634901306977,1.4120310478654592,18,55,0.4972677595628415,0.0477467811158798,0,BENIGN,BENIGN,0,Monday,14
20170703_1409,2017-07-03 14:09:00,2017-07-03 14:09:59,2017-07-03,Monday,14,697,150.31666666666666,75595.05,18360670.678622667,36220886.64849666,0.6857962697274032,502.9053110100898,102.88786871023872,1.1344060577378134,16,117,0.1951219512195122,0.0228406696973056,0,BENIGN,BENIGN,0,Monday,15
20170703_1410,2017-07-03 14:10:00,2017-07-03 14:10:59,2017-07-03,Monday,15,374,275.4,240879.3,10235407.323529411,28264604.76442228,0.7754010695187166,874.6525054466231,201.81638217524113,0.907978293499596,23,58,0.2647058823529412,0.0121641249092229,0,BENIGN,BENIGN,0,Monday,16
20170703_1411,2017-07-03 14:11:00,2017-07-03 14:11:59,2017-07-03,Monday,16,491,85.18333333333334,27854.983333333337,19356746.763747457,34397566.983684346,0.7006109979633401,327.0003913128546,134.47980006026776,1.003920031360251,11,108,0.2240325865580448,0.0403052240266092,0,BENIGN,BENIGN,0,Monday,17
20170703_1412,2017-07-03 14:12:00,2017-07-03 14:12:59,2017-07-03,Monday,17,480,396.1333333333333,344980.5,11973662.502083331,29208253.24595431,0.7,870.8696566812521,165.33892572611583,0.8942460949952183,15,70,0.2625,0.0101817569841804,0,BENIGN,BENIGN,0,Monday,18
20170703_1413,2017-07-03 14:13:00,2017-07-03 14:13:59,2017-07-03,Monday,18,202,5573.083333333333,7035934.216666667,32145376.886138614,38698414.46275291,0.4653465346534653,1262.485018765794,87.75333066367523,0.7561459804946195,12,80,0.3514851485148514,0.0001884055803938,0,BENIGN,BENIGN,0,Monday,19
20170703_1414,2017-07-03 14:14:00,2017-07-03 14:14:59,2017-07-03,Monday,19,977,331.6333333333333,217878.96666666667,17269164.71238485,34742952.53945956,0.7001023541453428,656.9875364358227,175.49719312043615,0.8362092830119037,10,134,0.2487205731832139,0.023972258518444,0,BENIGN,BENIGN,0,Monday,20
20170703_1415,2017-07-03 14:15:00,2017-07-03 14:15:59,2017-07-03,Monday,20,1675,9172.083333333334,11330469.466666669,14867391.07641791,33620654.47499315,0.7259701492537314,1235.321251987462,172.9534024403611,0.7543290319290014,18,225,0.2853731343283582,0.0017226184527324,0,BENIGN,BENIGN,0,Monday,21
20170703_1416,2017-07-03 14:16:00,2017-07-03 14:16:59,2017-07-03,Monday,21,416,85.45,21027.733333333337,25471344.685096152,38610834.47262228,0.5192307692307693,246.0823093426955,149.19849452905174,1.1402337228714523,12,101,0.4399038461538461,0.0592939340745075,0,BENIGN,BENIGN,0,Monday,22
20170703_1417,2017-07-03 14:17:00,2017-07-03 14:17:59,2017-07-03,Monday,22,533,8322.416666666666,10494503.083333334,20220630.838649157,36600605.495942816,0.6191369606003753,1260.9922698735345,173.74536226303212,0.7572519997325479,16,106,0.3602251407129456,0.0006288237591244,0,BENIGN,BENIGN,0,Monday,23
20170703_1418,2017-07-03 14:18:00,2017-07-03 14:18:59,2017-07-03,Monday,23,1317,511.6166666666667,339852.9166666667,16008476.985573271,33807853.221661344,0.6492027334851936,664.2725673518585,165.6804159652829,0.9492031240078737,16,242,0.3507972665148063,0.027071049288204,0,BENIGN,BENIGN,0,Monday,24
20170703_1419,2017-07-03 14:19:00,2017-07-03 14:19:59,2017-07-03,Monday,24,529,7630.916666666667,9631207.816666666,23997558.875236295,42385465.18079211,0.6351606805293005,1262.1298642583351,161.2352954383862,0.7583470947425016,19,130,0.4007561436672968,0.0007884592283583,0,BENIGN,BENIGN,0,Monday,25
20170703_1420,2017-07-03 14:20:00,2017-07-03 14:20:59,2017-07-03,Monday,25,585,294.06666666666666,223233.03333333333,15397155.565811966,31469036.562647652,0.6632478632478632,759.1238948084334,160.10524964610616,0.832294911734164,19,110,0.3094017094017094,0.0183631829517116,0,BENIGN,BENIGN,0,Monday,26
20170703_1421,2017-07-03 14:21:00,2017-07-03 14:21:59,2017-07-03,Monday,26,1329,1602.7833333333333,1775715.3333333333,14346660.811136192,33090786.23660863,0.744920993227991,1107.8948079902668,171.27232459351515,0.8114486993539152,24,203,0.2626034612490594,0.007538968669086,0,BENIGN,BENIGN,0,Monday,27
20170703_1422,2017-07-03 14:22:00,2017-07-03 14:22:59,2017-07-03,Monday,27,624,231.45,112684.51666666666,18299048.392628204,36437803.73203164,0.6682692307692307,486.8633254122561,196.0770732992302,0.8944209521211295,11,108,0.3173076923076923,0.0260675451861453,0,BENIGN,BENIGN,0,Monday,28
20170703_1423,2017-07-03 14:23:00,2017-07-03 14:23:59,2017-07-03,Monday,28,324,73.93333333333334,34387.98333333333,20852793.09567901,36441314.49610053,0.595679012345679,465.12150586113614,118.78265218773063,1.0095108695652173,12,102,0.3641975308641975,0.0306582506762849,0,BENIGN,BENIGN,0,Monday,29
20170703_1424,2017-07-03 14:24:00,2017-07-03 14:24:59,2017-07-03,Monday,29,2227,787.6666666666666,477831.86666666664,18757439.280197576,37449478.88366436,0.6470588235294118,606.642234447736,186.29499473071272,0.8896085722282195,24,289,0.3381230354737314,0.0312103258569614,0,BENIGN,BENIGN,0,Monday,30
20170703_1425,2017-07-03 14:25:00,2017-07-03 14:25:59,2017-07-03,Monday,30,529,124.98333333333332,41656.76666666667,17040351.797731567,35947919.55040348,0.6616257088846881,333.2985731430857,165.6263174279121,1.0314192849404118,14,121,0.3761814744801512,0.0474729963995199,0,BENIGN,BENIGN,0,Monday,31
20170703_1426,2017-07-03 14:26:00,2017-07-03 14:26:59,2017-07-03,Monday,31,1027,1050.8166666666666,957911.4333333332,15556388.210321324,32993311.12859806,0.697176241480039,911.5875906041332,114.23911851689434,0.8384068112899463,13,186,0.2901655306718598,0.0073593554219733,0,BENIGN,BENIGN,0,Monday,32
20170703_1427,2017-07-03 14:27:00,2017-07-03 14:27:59,2017-07-03,Monday,32,688,399.73333333333335,319850.7166666667,20467449.63226744,37471716.52213849,0.6031976744186046,800.1602318212141,192.43080527813856,0.8957477078722732,11,140,0.3531976744186046,0.0177618412274849,0,BENIGN,BENIGN,0,Monday,33
20170703_1428,2017-07-03 14:28:00,2017-07-03 14:28:59,2017-07-03,Monday,33,1308,4722.466666666666,6765153.733333333,18698837.96788991,34508371.31359818,0.5825688073394495,1432.5466352329995,205.05577828201615,0.802165022547018,21,248,0.3570336391437309,0.0032821830399367,0,BENIGN,BENIGN,0,Monday,34
20170703_1429,2017-07-03 14:29:00,2017-07-03 14:29:59,2017-07-03,Monday,34,1494,575.5833333333334,425084.06666666665,18632846.129852746,37071856.54700741,0.6345381526104418,738.5274069784277,204.3870166340716,0.9640582347588716,12,229,0.3808567603748327,0.0313015781091646,0,BENIGN,BENIGN,0,Monday,35
20170703_1430,2017-07-03 14:30:00,2017-07-03 14:30:59,2017-07-03,Monday,35,1386,935.1166666666668,776493.9166666666,11152530.702741705,29288981.970985208,0.8217893217893217,830.3711658081879,373.9508257667726,0.8833876002819644,13,162,0.670995670995671,0.0311904040494056,0,BENIGN,BENIGN,0,Monday,36
20170703_1431,2017-07-03 14:31:00,2017-07-03 14:31:59,2017-07-03,Monday,36,1035,214.41666666666663,81941.88333333333,8980412.499516908,25847401.245686177,0.8473429951690822,382.1619121647882,274.6346768318645,1.103318620238679,15,127,0.553623188405797,0.0777302759424796,0,BENIGN,BENIGN,0,Monday,37
20170703_1432,2017-07-03 14:32:00,2017-07-03 14:32:59,2017-07-03,Monday,37,439,70.88333333333334,11230.016666666666,16109080.161731208,30758990.869655695,0.6332574031890661,158.42957912062073,102.29198546682883,1.1398390342052314,12,106,0.3302961275626423,0.0324476839877733,0,BENIGN,BENIGN,0,Monday,38
20170703_1433,2017-07-03 14:33:00,2017-07-03 14:33:59,2017-07-03,Monday,38,1041,8899.533333333333,10926797.016666668,10853990.869356388,24136845.261662077,0.7348703170028819,1227.7943806042265,218.72500414763812,0.7592505345558657,24,210,0.4716618635926993,0.0018221929239735,0,BENIGN,BENIGN,0,Monday,39
20170703_1434,2017-07-03 14:34:00,2017-07-03 14:34:59,2017-07-03,Monday,39,1017,342.05,207263.31666666668,15588906.647000983,35037445.53968826,0.7620452310717798,605.9445012912342,156.95136031044666,0.8806927517639512,22,110,0.2487708947885939,0.025629781221069,0,BENIGN,BENIGN,0,Monday,40
